ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
743,Balineni Srinivasa Reddy (Vasu),ONGOLE,YSRCP,2,5 Crore+,0,ANDHRAPRADESH,12th Pass
744,Periyapullan P Alias Selvam,MELUR,AIADMK,0,1 Crore+,0,TAMILNADU,Graduate
745,Sunil Rane,BORIVALI,BJP,0,0,50 Lac+,MAHARASHTRA,Graduate
746,Amit Rattan,BATHINDA RURAL (SC),AAP,1,2 Crore+,0,PUNJAB,Graduate Professional
747,Sudhakar Singh,RAMGARH,RJD,2,5 Crore+,72 Lac+,BIHAR,Graduate
748,Jayanta Naskar,GOSABA (SC),AITC,1,2 Crore+,0,WESTBENGAL,8th Pass
749,Kamalakhya Dey Purkayastha,KARIMGANJ NORTH,INC,0,0,0,ASSAM,12th Pass
750,Pratap Baburao Sarnaik,OVALA MAJIWADA,SHS,5,143 Crore+,117 Crore+,MAHARASHTRA,10th Pass
751,Bhikhabhai Ravajibhai Baraiya,PALITANA,BJP,0,89 Lac+,0,GUJARAT,12th Pass
752,Araga Jnanendra,TIRTHAHALLI,BJP,0,6 Crore+,6 Lac+,KARNATAKA,Graduate
753,Dheeraj Muniraj,DODDABALLAPUR,BJP,1,97 Lac+,40 Lac+,KARNATAKA,Post Graduate
754,Khuraijam Loken Singh,WANGOI,NPP,0,3 Crore+,87 Lac+,MANIPUR,12th Pass
755,Sambit Routray,PARADEEP,BJD,3,2 Crore+,25 Lac+,ODISHA,Graduate Professional
756,Gaurav Kumar,ZAIDPUR (SC),SP,3,31 Lac+,35 Lac+,UTTARPRADESH,Graduate
757,Dura Ram,FATEHABAD,BJP,0,17 Crore+,79 Lac+,HARYANA,10th Pass
758,Kadakampally Surendran,KAZHAKKOOTTAM,CPI(M),13,1 Crore+,0,KERALA,Graduate
759,Satanand Sambuddha Alias Lalan,SAHEBPUR KAMAL,RJD,0,4 Crore+,15 Lac+,BIHAR,Doctorate
760,Paresh Murmu,KESHIARY (ST),AITC,0,40 Lac+,0,WESTBENGAL,Graduate
761,Amit Vilasrao Deshmukh,LATUR CITY,INC,0,22 Crore+,1 Crore+,MAHARASHTRA,Graduate Professional
762,Sanjay Dobhal,YAMUNOTRI,IND,1,0,70 Thou+,UTTARAKHAND,12th Pass
763,Bhanuben Manoharbhai Babariya,RAJKOT RURAL (SC),BJP,0,2 Crore+,16 Lac+,GUJARAT,Graduate
764,Srinivas Grandhi,BHIMAVARAM,YSRCP,0,39 Crore+,7 Crore+,ANDHRAPRADESH,12th Pass
765,Deepak Vasantrao Kesarkar,SAWANTWADI,SHS,0,82 Crore+,22 Crore+,MAHARASHTRA,Graduate
766,Rajesh Kumar,KUTUMBA (SC),INC,2,7 Crore+,60 Lac+,BIHAR,Graduate
767,Yallareddy Gari Venkatarama Reddy,GUNTAKAL,YSRCP,2,3 Crore+,86 Lac+,ANDHRAPRADESH,Graduate
768,Agri Krishnamurthy. S S,POLUR,AIADMK,1,7 Crore+,1 Crore+,TAMILNADU,Graduate Professional
769,Rakesh Rathour,SITAPUR,BJP,0,88 Lac+,25 Lac+,UTTARPRADESH,8th Pass
770,Udai Lal Bhadana,MANDAL,BJP,1,1 Crore+,99 Thou+,RAJASTHAN,10th Pass
771,Randhir Singh Gollen,PUNDRI,IND,0,4 Crore+,82 Lac+,HARYANA,Post Graduate
772,Ranoj Pegu,DHEMAJI (ST),BJP,0,1 Crore+,12 Lac+,ASSAM,Graduate Professional
773,C. C. Patil,NARGUND,BJP,0,16 Crore+,4 Crore+,KARNATAKA,10th Pass
774,Aniruddha (Madhav) Maroo,MANASA,BJP,1,16 Crore+,3 Crore+,MADHYAPRADESH,Graduate Professional
775,Venkata Pratap Apparao Meka,NUZVID,YSRCP,2,17 Crore+,24 Lac+,ANDHRAPRADESH,Graduate
776,Dr. Asok Kumar Chattopadhyay,HANSAN,AITC,0,14 Crore+,1 Crore+,WESTBENGAL,Post Graduate
777,Captain R Tamil Selvan,SION KOLIWADA,BJP,3,3 Crore+,2 Crore+,MAHARASHTRA,10th Pass
778,Vinayak Goyal,CHITRAKOT (ST),BJP,1,60 Lac+,6 Lac+,CHHATTISGARH,12th Pass
779,Malini Laxmansingh Gaur,INDORE-4,BJP,0,4 Crore+,62 Lac+,MADHYAPRADESH,Graduate
780,Dr. Vikrant Bhuria,JHABUA (ST),INC,10,6 Crore+,56 Lac+,MADHYAPRADESH,Post Graduate
781,Tanpho Wangnaw,LONGDING PUMAO,BJP,2,2 Crore+,0,ARUNACHALPRADESH,Graduate
782,C.K.Raulji,GODHRA,BJP,0,13 Crore+,0,GUJARAT,12th Pass
783,Basavaraj Neelappa Shivannanavar,BYADGI,INC,0,4 Crore+,2 Crore+,KARNATAKA,Graduate
784,Chaitanya Makarandbhai Desai,AKOTA,BJP,0,8 Crore+,0,GUJARAT,10th Pass
785,Aswini Kumar Patra,JALESWAR,BJD,3,93 Lac+,0,ODISHA,Post Graduate
786,Thakor Dineshbhai Ataji,CHANASMA,INC,0,5 Crore+,53 Lac+,GUJARAT,12th Pass
787,Mukesh Tandan,VIDISHA,BJP,1,7 Crore+,1 Crore+,MADHYAPRADESH,10th Pass
788,Nayan Sarkar,BAMUTIA (SC),CPI(M),0,19 Lac+,5 Lac+,TRIPURA,Post Graduate
789,Badri Narayan Patra,GHASIPURA,BJD,0,1 Crore+,10 Lac+,ODISHA,Post Graduate
790,Susanta Singh,BHATLI,BJD,3,58 Lac+,0,ODISHA,12th Pass
791,Rohan Khaunte,PORVORIM,BJP,1,21 Crore+,3 Crore+,GOA,Others
792,Meghe Sameer Dattatraya,HINGNA,BJP,0,159 Crore+,63 Crore+,MAHARASHTRA,Graduate
793,Puna Bhengra,NAGRAKATA (ST),BJP,1,13 Lac+,0,WESTBENGAL,10th Pass
794,Asha Maurya,MAHMOODABAD,BJP,3,5 Crore+,25 Lac+,UTTARPRADESH,Graduate
795,Arabail Hebbar Shivaram,YELLAPUR,BJP,1,21 Crore+,2 Crore+,KARNATAKA,10th Pass
796,Vijender Kumar,ROHINI,BJP,2,10 Crore+,1 Crore+,DELHI,Post Graduate
797,Binay Kumar Choudhary,BENIPUR,JD(U),0,2 Crore+,5 Lac+,BIHAR,Doctorate
798,Manish Sisodia,PATPARGANJ,AAP,3,93 Lac+,0,DELHI,Others
799,Kanubhai Karamshibhai Patel,SANAND,BJP,1,21 Crore+,36 Lac+,GUJARAT,12th Pass
800,Kajal Sinha,KHARDAHA,AITC,1,1 Crore+,16 Lac+,WESTBENGAL,12th Pass
801,Laxman Madhavrao Pawar,GEORAI,BJP,1,5 Crore+,97 Lac+,MAHARASHTRA,Graduate Professional
802,Kedar Prasad Gupta,KURHANI : BYE ELECTION ON 05-12-2022,BJP,5,2 Crore+,8 Lac+,BIHAR,Post Graduate
803,Raj Mani,KORAON (SC),BJP,0,69 Lac+,0,UTTARPRADESH,Post Graduate
804,Selvaperunthagai,SRIPERUMBUDUR (SC),INC,3,0,1 Crore+,TAMILNADU,Graduate Professional
805,Duraimurugan,KATPADI,DMK,8,30 Crore+,0,TAMILNADU,Post Graduate
806,T. Raghumurthy,CHALLAKERE (ST),INC,0,0,11 Crore+,KARNATAKA,Graduate Professional
807,Ezhilan N,THOUSAND LIGHTS,DMK,0,1 Crore+,3 Lac+,TAMILNADU,Graduate Professional
808,Rohit Sahu,RAJIM,BJP,0,1 Crore+,47 Lac+,CHHATTISGARH,12th Pass
809,Sanjay Kumar Sharma,ANUPSHAHR,BJP,0,3 Crore+,64 Lac+,UTTARPRADESH,Post Graduate
810,Kiritsinh Jitubha Rana,LIMBDI,BJP,0,2 Crore+,0,GUJARAT,10th Pass
811,Mohd Tahir Khan,ISAULI,SP,3,5 Crore+,35 Lac+,UTTARPRADESH,12th Pass
812,Dr. Pallavi Patel,SIRATHU,SP,0,3 Crore+,8 Lac+,UTTARPRADESH,Graduate
813,Mohammad Ilyas,PUNHANA,INC,0,0,4 Lac+,HARYANA,Graduate
814,N. A. Haris,SHANTINAGAR,INC,1,439 Crore+,28 Crore+,KARNATAKA,Post Graduate
815,Mohan,HATA,BJP,7,3 Crore+,0,UTTARPRADESH,Post Graduate
816,Premsagar Patel,SISWA,BJP,0,3 Crore+,15 Lac+,UTTARPRADESH,Graduate
817,Ashim Biswas,RANAGHAT UTTAR PURBA (SC),BJP,4,24 Lac+,56 Thou+,WESTBENGAL,Graduate
818,Adesh Singh Chauhan,JASPUR,INC,1,3 Crore+,32 Lac+,UTTARAKHAND,Graduate
819,Bhagwant Mann,DHURI,AAP,1,1 Crore+,30 Lac+,PUNJAB,12th Pass
820,Vijayendra Yediyurappa,SHIKARIPURA,BJP,2,126 Crore+,34 Crore+,KARNATAKA,Graduate Professional
821,Leishangthem Susindro Meitei,KHURAI,BJP,0,3 Crore+,50 Lac+,MANIPUR,12th Pass
822,Basanta Das,MANGALDOI (SC),INC,0,3 Crore+,70 Lac+,ASSAM,Graduate
823,Mohanrao Marotrao Hambarde,NANDED SOUTH,INC,0,2 Crore+,13 Lac+,MAHARASHTRA,10th Pass
824,Shriram Chauhan,KHAJANI (SC),BJP,1,2 Crore+,0,UTTARPRADESH,Post Graduate
825,Lalji Verma,KATEHARI,SP,3,9 Crore+,31 Lac+,UTTARPRADESH,Post Graduate
826,Gautam Chowdhuri,HOWRAH UTTAR,AITC,4,1 Crore+,0,WESTBENGAL,12th Pass
827,Kaswala Mahesh,SAVARKUNDLA,BJP,0,9 Crore+,2 Crore+,GUJARAT,Post Graduate
828,T B Jayachandra,SIRA,INC,6,39 Crore+,2 Crore+,KARNATAKA,Graduate Professional
829,Rakhi Birla,MANGOL PURI,AAP,1,76 Thou+,0,DELHI,Post Graduate
830,W Chingang Konyak,WAKCHING (ST),NDPP,0,5 Crore+,0,NAGALAND,Graduate
831,Subhash Shirodkar,SIRODA,BJP,0,4 Crore+,1 Crore+,GOA,12th Pass
832,Sampatiya Uikey,MANDLA (ST),BJP,0,9 Crore+,2 Crore+,MADHYAPRADESH,Post Graduate
833,Harimohan Sharma,BUNDI,INC,0,17 Crore+,30 Lac+,RAJASTHAN,Post Graduate
834,Sanjay Singh Gangwar,PILIBHIT,BJP,4,5 Crore+,1 Crore+,UTTARPRADESH,Graduate
835,Hemant Soren,DUMKA (ST),JMM,2,8 Crore+,2 Lac+,JHARKHAND,12th Pass
836,M.Chinnadurai,GANDARVAKOTTAI (SC),CPI(M),0,4 Lac+,0,TAMILNADU,8th Pass
837,"Ramachandran, K.",COONOOR,DMK,3,10 Crore+,1 Crore+,TAMIL NADU,10th Pass
838,Ashwani Kumar Sharma,PATHANKOT,BJP,1,1 Crore+,0,PUNJAB,Graduate
839,Mina Kumari,BABUBARHI,JD(U),1,69 Lac+,17 Lac+,BIHAR,Post Graduate
840,Peddi Reddy Ramachandra Reddy,PUNGANUR,YSRCP,0,130 Crore+,20 Crore+,ANDHRAPRADESH,Doctorate
841,Kongkham Robindro Singh,MAYANG IMPHAL,BJP,0,2 Crore+,50 Lac+,MANIPUR,Post Graduate
842,Kailash,CHAKIA (SC),BJP,0,0,0,UTTARPRADESH,Graduate Professional
843,Raja.S.R,TAMBARAM,DMK,3,27 Crore+,8 Crore+,TAMILNADU,8th Pass
844,Kethireddy Venkatarami Reddy,DHARMAVARAM,YSRCP,7,5 Crore+,29 Lac+,ANDHRAPRADESH,Graduate Professional
845,Kuche Narayan Tilakchand,BADNAPUR (SC),BJP,1,3 Crore+,18 Lac+,MAHARASHTRA,Graduate
846,Chauhan Balrajsinh Kalyansinh,DAHEGAM,BJP,0,1 Crore+,6 Lac+,GUJARAT,Graduate Professional
847,Dhirendra Pratap Singh Alias Rinku Singh,VALMIKI NAGAR,JD(U),2,4 Crore+,27 Lac+,BIHAR,Graduate Professional
848,Sandeep Kumar Singh,ATRAULI,BJP,0,14 Crore+,0,UTTARPRADESH,Post Graduate
849,Ashok Kumar Rai,PUTTUR,INC,1,70 Crore+,56 Crore+,KARNATAKA,Post Graduate
850,Bhagwan Singh Kushwaha,KHERAGARH,BJP,1,1 Crore+,0,UTTARPRADESH,Graduate Professional
851,Rajendra Bharti,DATIA,INC,6,1 Crore+,25 Lac+,MADHYAPRADESH,Graduate Professional
852,Kallol Khan,NAKASHIPARA,AITC,2,25 Lac+,8 Lac+,WESTBENGAL,12th Pass
853,Dinen Roy,KHARAGPUR,AITC,13,3 Crore+,0,WESTBENGAL,12th Pass
854,Surjakumar Okram,KHANGABOK,INC,1,2 Crore+,63 Lac+,MANIPUR,Graduate
855,Rajan Mandloi,BADWANI (ST),INC,2,5 Crore+,1 Crore+,MADHYAPRADESH,Post Graduate
856,G.Iyappan,CUDDALORE,DMK,0,2 Crore+,75 Lac+,TAMILNADU,Post Graduate
857,Sanjay Rattan,JAWALAMUKHI,INC,0,4 Crore+,32 Lac+,HIMACHALPRADESH,Post Graduate
858,Ranbir Singh,NURPUR,BJP,1,15 Crore+,30 Lac+,HIMACHALPRADESH,10th Pass
859,Debi Prasad Mishra,BARAMBA,BJD,0,5 Crore+,1 Crore+,ODISHA,Graduate
860,Himanta Biswa Sarma,JALUKBARI,BJP,0,17 Crore+,3 Crore+,ASSAM,Doctorate
861,Dr. D. C. Verma,MEERGANJ,BJP,0,3 Crore+,14 Lac+,UTTARPRADESH,Post Graduate
862,T I Madhusoodanan,PAYYANNUR,CPI(M),3,98 Lac+,3 Lac+,KERALA,Graduate
863,Mahesh Tenginakai,HUBLI-DHARWAD-CENTRAL,BJP,1,1 Crore+,7 Lac+,KARNATAKA,10th Pass
864,P Nandakumar,PONNANI,CPI(M),0,1 Crore+,0,KERALA,10th Pass
865,Pritam Singh Panwar,DHANOLTI,BJP,0,3 Crore+,6 Lac+,UTTARAKHAND,Graduate
866,Dinesh Jain Boss,MAHIDPUR,INC,4,0,30 Crore+,MADHYAPRADESH,Post Graduate
867,Kannan Ka So Ka,JAYANKONDAM,DMK,21,12 Crore+,19 Lac+,TAMILNADU,Post Graduate
868,Hoshyar Singh,DEHRA,IND,0,5 Crore+,1 Crore+,HIMACHALPRADESH,12th Pass
869,Renu Devi,BETTIAH,BJP,2,3 Crore+,14 Lac+,BIHAR,12th Pass
870,Tage Taki,ZIRO HAPOLI,BJP,0,0,24 Lac+,ARUNACHALPRADESH,Graduate Professional
871,Alok Kumar Majhi,JAMALPUR (SC),AITC,5,17 Lac+,0,WESTBENGAL,Graduate
872,Jaykumar Bhagwanrao Gore,MAN,BJP,5,5 Crore+,61 Lac+,MAHARASHTRA,12th Pass
873,Ram Chandra Yadav,RUDAULI,BJP,2,0,1 Crore+,UTTARPRADESH,12th Pass
874,Saryu Roy,JAMSHEDPUR EAST,IND,0,4 Crore+,0,JHARKHAND,Post Graduate
875,Bahadur Singh,WEIR (SC),BJP,1,3 Crore+,14 Lac+,RAJASTHAN,8th Pass
876,"Dhanapal, P",AVANASHI (SC),AIADMK,0,0,1 Crore+,TAMIL NADU,10th Pass
877,Bhushan Bara,SIMDEGA (ST),INC,2,38 Lac+,31 Lac+,JHARKHAND,Graduate
878,Rabiul Alam Chowdhury,REJINAGAR,AITC,1,1 Crore+,0,WESTBENGAL,Graduate
879,Asif (Raju) Sait,BELGAUM UTTAR,INC,0,33 Crore+,2 Lac+,KARNATAKA,12th Pass
880,Amit Chavda,ANKLAV,INC,0,2 Crore+,15 Lac+,GUJARAT,Others
881,Devaraji.K.,JOLARPET,DMK,3,2 Crore+,37 Lac+,TAMILNADU,8th Pass
882,Ramchandra Chandravanshi,BISHRAMPUR,BJP,0,0,0,JHARKHAND,12th Pass
883,Sukumar Roy,COOCHBEHAR UTTAR (SC),BJP,3,49 Lac+,0,WESTBENGAL,8th Pass
884,Vikram Usendi,ANTAGARH (ST),BJP,0,4 Crore+,0,CHHATTISGARH,10th Pass
885,Prof. Jaswant Singh Gajjan Majra,AMARGARH,AAP,0,19 Crore+,0,PUNJAB,Post Graduate
886,Mohammad Faheem Irfan,BILARI,SP,0,4 Crore+,0,UTTARPRADESH,Graduate Professional
887,Govind Prasad,MANOHAR THANA,BJP,0,0,23 Lac+,RAJASTHAN,Graduate
888,Dr. Manju Baghmar,JAYAL (SC),BJP,0,4 Crore+,0,RAJASTHAN,Doctorate
889,Tesam Pongte,CHANGLANG NORTH,BJP,0,2 Crore+,0,ARUNACHALPRADESH,Graduate
890,Dr. Mahendrabhai Padalia,DHORAJI,BJP,0,8 Crore+,60 Lac+,GUJARAT,Doctorate
891,Raj Kumari Dhillon,HARI NAGAR,AAP,0,48 Crore+,19 Crore+,DELHI,Graduate
892,Zala Rajeshkumar Maganbhai,KAPADVANJ,BJP,0,1 Crore+,8 Lac+,GUJARAT,12th Pass
893,Dr. Sunil Kumar,BIHARSHARIF,BJP,7,11 Crore+,0,BIHAR,Graduate Professional
894,Vikramjit Singh Chaudhary,PHILLAUR (SC),INC,0,7 Crore+,35 Lac+,PUNJAB,Graduate
895,Pijush Hazarika,JAGIROAD (SC),BJP,0,0,46 Lac+,ASSAM,Graduate
896,J. Prakash Kumar,MUTHIALPET,IND,2,1 Crore+,16 Lac+,PUDUCHERRY,Graduate
897,Bipin Singh,GORAKHPUR RURAL,BJP,0,9 Crore+,28 Lac+,UTTARPRADESH,Graduate
898,Akhtarul Islam Shahin,SAMASTIPUR,RJD,5,67 Lac+,0,BIHAR,12th Pass
899,Karunanithi J,THIYAGARAYANAGAR,DMK,3,3 Crore+,1 Crore+,TAMILNADU,8th Pass
900,Susant Kumar Rout,BHUBANESWAR NORTH,BJD,0,13 Crore+,4 Crore+,ODISHA,10th Pass
901,Thakur Jaiveer Singh,BARAULI,BJP,0,13 Crore+,67 Lac+,UTTARPRADESH,Post Graduate
902,Narayan Goswami,ASHOKNAGAR,AITC,3,1 Crore+,20 Lac+,WESTBENGAL,Graduate
903,Narendra Shivaji Patel,UDAIPURA,BJP,0,6 Crore+,28 Lac+,MADHYAPRADESH,Graduate Professional
904,Jayanta Kumar Sarangi,PURI,BJP,3,0,9 Lac+,ODISHA,12th Pass
905,Balkar Singh,KARTARPUR (SC),AAP,0,4 Crore+,10 Lac+,PUNJAB,Graduate Professional
906,Metsubo Jamir,MOKOKCHUNG TOWN,NDPP,0,8 Crore+,0,NAGALAND,Graduate
907,Saraswathi.C,MODAKKURICHI,BJP,0,11 Crore+,62 Lac+,TAMILNADU,Graduate Professional
908,Sanjiv Chaurasia,DIGHA,BJP,4,7 Crore+,0,BIHAR,Doctorate
909,Pushpendra Singh,BALI,BJP,0,5 Crore+,5 Lac+,RAJASTHAN,Graduate
910,Dr. Krishan Lal Middha,JIND,BJP,0,2 Crore+,25 Lac+,HARYANA,Graduate Professional
911,Dadisetti Raja,TUNI,YSRCP,15,15 Crore+,65 Lac+,ANDHRAPRADESH,8th Pass
912,Kamakhya Pratap Singh (Teeka Raja),MAHARAJPUR,BJP,0,1 Crore+,42 Lac+,MADHYAPRADESH,Graduate
913,Sumita Sinha,KANTHI UTTAR,BJP,0,4 Crore+,26 Lac+,WESTBENGAL,Graduate
914,Uday Ravindra Samant,RATNAGIRI,SHS,0,4 Crore+,1 Crore+,MAHARASHTRA,12th Pass
915,Pratap Jena,MAHANGA,BJD,1,9 Crore+,0,ODISHA,Post Graduate
916,Imkong L. Imchen,KORIDANG (ST),BJP,0,0,0,NAGALAND,Post Graduate
917,A.B. Ramesha Bandisiddegowda,SHRIRANGAPATTANA,INC,2,15 Crore+,1 Crore+,KARNATAKA,Others
918,Padmanabha Behera,BIRMAHARAJPUR,BJD,0,2 Crore+,16 Lac+,ODISHA,8th Pass
919,Vinod Chamoli,DHARAMPUR,BJP,0,3 Crore+,16 Lac+,UTTARAKHAND,Graduate
920,Ramireddy Pratap Kumar Reddy,KAVALI,YSRCP,7,242 Crore+,27 Crore+,ANDHRAPRADESH,Graduate Professional
921,Ajoy Kumar Ray,BIJNI,BJP,0,23 Lac+,0,ASSAM,Graduate
922,Harish Singh Dhami,DHARCHULA,INC,1,4 Crore+,2 Crore+,UTTARAKHAND,12th Pass
923,Sucharitha Mekathoti,PRATHIPADU (SC),YSRCP,1,8 Crore+,1 Crore+,ANDHRAPRADESH,Graduate
924,Dr. Amiya Kumar Bhuyan,BIHPURIA,BJP,0,1 Crore+,57 Lac+,ASSAM,Doctorate
925,Chandrakant Pandit Jadhav,KOLHAPUR NORTH,INC,1,79 Crore+,18 Crore+,MAHARASHTRA,10th Pass
926,Annamreddy Adeep Raj,PENDURTHI,YSRCP,2,6 Crore+,1 Crore+,ANDHRAPRADESH,12th Pass
927,Maheshwar Hazari,KALYANPUR (SC),JD(U),1,6 Crore+,1 Crore+,BIHAR,Graduate
928,Gajendra Singh,LOHAWAT,BJP,0,0,0,RAJASTHAN,Graduate Professional
929,Chiragkumar Arvindbhai Patel,KHAMBHAT,INC,0,0,8 Lac+,GUJARAT,10th Pass
930,Chaudhary Manisha Ashok,DHAISAR,BJP,0,4 Crore+,13 Lac+,MAHARASHTRA,Graduate
931,Asim Kumar Sarkar,HARINGHATA (SC),BJP,2,0,16 Lac+,WESTBENGAL,Literate
932,Ravi Sharma,JHANSI NAGAR,BJP,2,9 Crore+,4 Crore+,UTTARPRADESH,Graduate Professional
933,Harjot Singh Bains,ANANDPUR SAHIB,AAP,0,2 Crore+,22 Lac+,PUNJAB,Graduate Professional
934,Lall Bahadur Das,WEST PENDAM,Sikkim Krantikari Morcha,0,0,12 Lac+,SIKKIM,Graduate
935,Adv Eldose P Kunnapillil,PERUMBAVOOR,INC,3,1 Crore+,16 Lac+,KERALA,Post Graduate
936,Souvic Biswal,CHOUDWAR-CUTTACK,BJD,0,0,0,ODISHA,Post Graduate
937,Prakaash Y,HOSUR,DMK,0,7 Crore+,7 Crore+,TAMILNADU,10th Pass
938,Gurinder Singh,AMLOH,AAP,0,45 Lac+,4 Lac+,PUNJAB,Post Graduate
939,Kapu Ramachandra Reddy,RAYADURG,YSRCP,6,17 Crore+,6 Crore+,ANDHRAPRADESH,Post Graduate
940,Vundavall Sridevi,TADIKONDA (SC),YSRCP,0,9 Crore+,2 Crore+,ANDHRAPRADESH,Graduate Professional
941,Prasanta Phukan,DIBRUGARH,BJP,0,4 Crore+,84 Lac+,ASSAM,10th Pass
942,Amarnath Shakha,ONDA,BJP,6,65 Lac+,1 Lac+,WESTBENGAL,10th Pass
943,Atul Garg,GHAZIABAD,BJP,0,23 Crore+,1 Crore+,UTTARPRADESH,12th Pass
944,Saluga Pradhan,G. UDAYAGIR,BJD,0,35 Lac+,0,ODISHA,12th Pass
945,Firhad Hakim,KOLKATA PORT,AITC,1,13 Crore+,83 Lac+,WESTBENGAL,Graduate
946,Jasvir Singh Raja Gill,URMAR,AAP,2,2 Crore+,7 Lac+,PUNJAB,12th Pass
947,Pranay Prabhat Pandey (Guddu Bhaiya),BAHORIBAND,BJP,1,3 Crore+,29 Lac+,MADHYAPRADESH,Post Graduate
948,Motilal Sahu,RAIPUR RURAL,BJP,0,3 Crore+,2 Lac+,CHHATTISGARH,Others
949,Adv. P.V.Sreenijin,KUNNATHUNAD,CPI(M),0,15 Crore+,3 Crore+,KERALA,Post Graduate
950,Pitam Padhi,POTTANGI,BJD,1,20 Lac+,15 Thou+,ODISHA,12th Pass
951,Shiv Charan Goel,MOTI NAGAR,AAP,0,24 Crore+,0,DELHI,12th Pass
952,B.K. Sanagameshwara,BHADRAVATHI,INC,4,6 Crore+,2 Crore+,KARNATAKA,10th Pass
953,H.D. Kumaraswamy,CHANNAPATNA,JD(S),5,189 Crore+,76 Crore+,KARNATAKA,Graduate
954,Sharath Kumar Bachegowda,HOSAKOTE,INC,4,107 Crore+,1 Crore+,KARNATAKA,Post Graduate
955,Bharatbhai Kikubhai Patel,VALSAD,BJP,0,3 Crore+,5 Lac+,GUJARAT,Post Graduate
956,Gopal Lal Sharma,MANDALGARH,BJP,0,21 Crore+,10 Crore+,RAJASTHAN,Graduate
957,Kondeti Chitti Babu,GANNAVARAM,YSRCP,0,3 Crore+,5 Lac+,ANDHRAPRADESH,Post Graduate
958,Lombo Tayeng,MEBO,INC,0,148 Crore+,0,ARUNACHALPRADESH,Graduate
959,Pongseng Marak,BAJENGDOBA (ST),NPP,0,71 Lac+,0,MEGHALAYA,Graduate
960,B.B.Chimmanakatti,BADAMI,INC,0,5 Crore+,2 Crore+,KARNATAKA,Graduate Professional
961,Kakadiya Jaysukhbhai Vallabhbhai (Kakadiya J.V.),DHARI,BJP,0,3 Crore+,1 Crore+,GUJARAT,Graduate
962,Dr. C. N. Gupta,CHAPRA,BJP,0,4 Crore+,32 Lac+,BIHAR,Graduate Professional
963,Ian Botham K. Sangma,SALMANPARA (ST),NPP,0,93 Lac+,35 Lac+,MEGHALAYA,Post Graduate
964,Moloy Ghatak,ASANSOL UTTAR,AITC,0,3 Crore+,85 Lac+,WESTBENGAL,Graduate Professional
965,Anjula Singh Mahaur,HATHRAS (SC),BJP,0,4 Crore+,0,UTTARPRADESH,Graduate Professional
966,Dr. Priyanka Chowdhary,BARMER,IND,0,3 Crore+,0,RAJASTHAN,Post Graduate
967,Prakash Soren,BARIPADA,BJP,5,9 Lac+,94 Thou+,ODISHA,10th Pass
968,Tarun Kumar Maity,EGRA,AITC,0,85 Lac+,55 Lac+,WESTBENGAL,Post Graduate
969,Debasish Kumar,RASHBEHARI,AITC,0,5 Crore+,99 Lac+,WESTBENGAL,12th Pass
970,Hamidul Rahaman,CHOPRA,AITC,3,1 Crore+,1 Lac+,WESTBENGAL,12th Pass
971,B. A. Basavaraja,K.R. PURA,BJP,3,122 Crore+,23 Crore+,KARNATAKA,12th Pass
972,Dr. Kashmir Singh Sohal,TARN TARAN,AAP,1,5 Crore+,6 Lac+,PUNJAB,Post Graduate
973,Rais Kasam Shaikh,BHIWANDI EAST,SP,1,5 Crore+,3 Crore+,MAHARASHTRA,Graduate
974,Deorao Madguji Holi,GADCHIROLI (ST),BJP,0,2 Crore+,38 Lac+,MAHARASHTRA,Graduate Professional
975,Hakam Singh,RAIKOT (SC),AAP,0,3 Crore+,0,PUNJAB,12th Pass
976,Tarachand,DUNGARGARH,BJP,0,17 Crore+,41 Lac+,RAJASTHAN,Literate
977,Virender Singh Kadian,DELHI CANTT,AAP,0,2 Crore+,39 Lac+,DELHI,Post Graduate
978,Rajesh Kumar Gupta,SASARAM,RJD,0,3 Crore+,35 Lac+,BIHAR,Graduate
979,Shekar. R.D,PERAMBUR,DMK,10,0,39 Lac+,TAMILNADU,Graduate Professional
980,Kulwant Singh Pandori,MEHAL KALAN (SC),AAP,2,17 Lac+,5 Lac+,PUNJAB,Graduate
981,Mama Natung,SEPPA WEST,BJP,0,9 Crore+,23 Lac+,ARUNACHALPRADESH,12th Pass
982,Thongam Biswajit Singh,THONGJU,BJP,0,0,30 Lac+,MANIPUR,Graduate
983,Firdousi Begum,SONARPUR UTTAR,AITC,0,6 Crore+,2 Lac+,WESTBENGAL,12th Pass
984,Santhakumari K,KONGAD,CPI(M),0,41 Lac+,25 Lac+,KERALA,Graduate Professional
985,Krishna Kalyani,RAIGANJ,BJP,0,5 Crore+,88 Lac+,WESTBENGAL,Graduate
986,Arindam Guin (Bubai),CHAMPDANI,AITC,0,1 Crore+,14 Lac+,WESTBENGAL,Graduate
987,Indrajit Mahato,SINDRI,BJP,1,1 Crore+,0,JHARKHAND,Graduate
988,Umanatha Kotian,MOODABIDRI,BJP,1,4 Crore+,25 Lac+,KARNATAKA,10th Pass
989,Jitender Mahajan,ROHTAS NAGAR,BJP,2,1 Crore+,28 Lac+,DELHI,Graduate
990,Pramila Mallik,BINJHARPUR,BJD,0,4 Crore+,59 Lac+,ODISHA,Graduate
991,Ganesh Ghogra,DUNGARPUR (ST),INC,3,0,0,RAJASTHAN,Post Graduate
