ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
3093,Samsul Haque,BOXANAGAR,CPI(M),1,58 Lac+,,TRIPURA,10th Pass
3094,Tinku Roy,CHANDIPUR,BJP,0,4 Crore+,50 Lac+,TRIPURA,12th Pass
3095,Subodh Deb Barma,CHARILAM (ST),Tipra Motha Party,0,50 Lac+,,TRIPURA,Post Graduate
3096,Sambhu Lal Chakma,CHAWMANU (ST),BJP,0,15 Lac+,23 Lac+,TRIPURA,Graduate Professional
3097,Pratima Bhoumik,DHANPUR,BJP,0,78 Lac+,,TRIPURA,Graduate
3098,Biswa Bandhu Sen,DHARMANAGAR,BJP,0,9 Crore+,11 Lac+,TRIPURA,Graduate
3099,Sudhangshu Das,FATIKROY (SC),BJP,0,0,12 Lac+,TRIPURA,Graduate
3100,Manab Debbarma,GOLAGHATI (ST),Tipra Motha Party,0,1 Crore+,,TRIPURA,Others
3101,Asoke Ch. Mitra,HRISHYAMUKH,CPI(M),0,1 Crore+,,TRIPURA,Graduate Professional
3102,Sukla Charan Noatia,JOLAIBARI (ST),Indigenous Peoples Front of Tripura,0,2 Lac+,,TRIPURA,12th Pass
3103,Sailendra Chandra Nath,JUBARAJNAGAR,CPI(M),0,2 Crore+,22 Lac+,TRIPURA,Graduate
3104,Islam Uddin,KADAMTALA-KURTI,CPI(M),2,18 Lac+,22 Lac+,TRIPURA,Graduate
3105,Birajit Sinha,KAILASHAHAR,INC,3,2 Crore+,12 Lac+,TRIPURA,12th Pass
3106,Jitendra Majumder,KAKRABAN-SHALGARA (SC),BJP,1,68 Lac+,35 Lac+,TRIPURA,Graduate
3107,Pinaki Das Chowdhury,KALYANPUR-PRAMODNAGAR,BJP,0,36 Lac+,22 Lac+,TRIPURA,12th Pass
3108,Antara Sarkar Deb,KAMALASAGAR,BJP,0,73 Thou+,,TRIPURA,10th Pass
3109,Manoj Kanti Deb,KAMALPUR,BJP,0,0,,TRIPURA,Graduate
3110,Philip Kumar Reang,KANCHANPUR (ST),Tipra Motha Party,1,26 Lac+,,TRIPURA,Post Graduate
3111,Paul Dangshu,KARAMCHARA (ST),Tipra Motha Party,0,8 Lac+,,TRIPURA,10th Pass
3112,Sanjoy Manik Tripura,KARBOOK (ST),Tipra Motha Party,1,10 Lac+,1 Lac+,TRIPURA,12th Pass
3113,Ratan Chakraborty,KHAYERPUR,BJP,0,3 Crore+,,TRIPURA,Graduate
3114,Nirmal Biswas,KHOWAI,CPI(M),0,27 Lac+,25 Lac+,TRIPURA,Graduate
3115,Bikash Debbarma,KRISHNAPUR (ST),BJP,0,56 Lac+,8 Lac+,TRIPURA,10th Pass
3116,Sushanta Chowdhury,MAJLISHPUR,BJP,1,75 Lac+,16 Lac+,TRIPURA,Graduate Professional
3117,Swapna Debbarma,MANDAI BAZAR (ST),Tipra Motha Party,0,9 Lac+,1 Lac+,TRIPURA,10th Pass
3118,Mailafru Mog,MANU (ST),BJP,1,4 Lac+,,TRIPURA,8th Pass
3119,Abhishek Debroy,MATARBARI,BJP,0,0,50 Lac+,TRIPURA,Graduate Professional
3120,Ratan Lal Nath,MOHANPUR,BJP,1,2 Crore+,19 Lac+,TRIPURA,Graduate Professional
3121,Kishor Barman,NALCHAR (SC),BJP,0,46 Lac+,,TRIPURA,Post Graduate
3122,Bhagaban Chandra Das,PABIACHARA (SC),BJP,0,98 Lac+,53 Lac+,TRIPURA,8th Pass
3123,Binay Bhushan Das,PANISAGAR,BJP,0,2 Crore+,39 Lac+,TRIPURA,Graduate Professional
3124,Santana Chakma,PECHARTHAL (ST),BJP,0,4 Lac+,21 Lac+,TRIPURA,Post Graduate
3125,Ramu Das,PRATAPGARH (SC),CPI(M),0,8 Lac+,,TRIPURA,Post Graduate
3126,Pranajit Singha Roy,RADHAKISHORPUR,BJP,0,7 Crore+,21 Lac+,TRIPURA,Graduate
3127,Nandita Debbarma(Reang),RAIMA VALLEY (ST),Tipra Motha Party,0,63 Thou+,71 Thou+,TRIPURA,8th Pass
3128,Swapna Majumder,RAJNAGAR (SC),BJP,0,1 Lac+,,TRIPURA,Graduate
3129,Ranjit Debbarma,RAMCHANDRAGHAT (ST),Tipra Motha Party,1,0,,TRIPURA,12th Pass
3130,Surajit Datta,RAMNAGAR,BJP,0,97 Lac+,13 Lac+,TRIPURA,12th Pass
3131,Jitendra Chaudhury,SABROOM,CPI(M),3,2 Crore+,1 Lac+,TRIPURA,12th Pass
3132,Pramod Reang,SANTIRBAZAR (ST),BJP,0,19 Lac+,23 Lac+,TRIPURA,12th Pass
3133,Brishaketu Debbarma,SIMNA (ST),Tipra Motha Party,0,1 Crore+,24 Lac+,TRIPURA,Graduate Professional
3134,Shyamal Chakraborty,SONAMURA,CPI(M),1,1 Crore+,,TRIPURA,12th Pass
3135,Swapna Das Paul,SURMA (SC),BJP,0,76 Lac+,8 Lac+,TRIPURA,12th Pass
3136,Ram Prasad Paul,SURYAMANINAGAR,BJP,0,1 Crore+,20 Lac+,TRIPURA,8th Pass
3137,Biswajit Kalai,TAKARJALA (ST),Tipra Motha Party,0,13 Lac+,,TRIPURA,Post Graduate
3138,Kalyani Saha Roy,TELIAMURA,BJP,0,2 Crore+,33 Lac+,TRIPURA,Graduate Professional
3139,Manik Saha,TOWN BARDOWALI,BJP,0,0,13 Lac+,TRIPURA,Post Graduate
3140,Manoj Tewari,ALMORA,INC,0,2 Crore+,,UTTARAKHAND,Graduate
3141,Adesh Chauhan,B.H.E.L. RANIPUR,BJP,1,1 Crore+,19 Lac+,UTTARAKHAND,12th Pass
3142,Rajendra Singh Bhandari,BADRINATH,INC,0,98 Lac+,10 Lac+,UTTARAKHAND,Post Graduate
3143,Chandan Ram Dass,BAGESHWAR (SC),BJP,0,1 Crore+,6 Lac+,UTTARAKHAND,Graduate
3144,Yashpal Arya,BAJPUR (SC),INC,1,10 Crore+,,UTTARAKHAND,Graduate
3145,Mamta Rakesh,BHAGWANPUR(SC),INC,0,4 Crore+,,UTTARAKHAND,Post Graduate
3146,Ram Singh Kaira,BHIMTAL,BJP,0,1 Crore+,9 Lac+,UTTARAKHAND,Graduate
3147,Pritam Singh,CHAKRATA (ST),INC,3,10 Crore+,99 Lac+,UTTARAKHAND,Graduate Professional
3148,Kailash Chandra Gahtori,CHAMPAWAT,BJP,0,10 Crore+,,UTTARAKHAND,Graduate
3149,Satpal Maharaj,CHAUBATTAKHAL,BJP,0,0,,UTTARAKHAND,12th Pass
3150,Savita Kapoor,DEHRADUN CANTONMENT,BJP,0,1 Crore+,39 Lac+,UTTARAKHAND,12th Pass
3151,Vinod Kandari,DEVPRAYAG,BJP,0,1 Crore+,7 Lac+,UTTARAKHAND,Post Graduate
3152,Pritam Singh Panwar,DHANOLTI,BJP,0,3 Crore+,6 Lac+,UTTARAKHAND,Graduate
3153,Vinod Chamoli,DHARAMPUR,BJP,0,3 Crore+,16 Lac+,UTTARAKHAND,Graduate
3154,Harish Singh Dhami,DHARCHULA,INC,1,4 Crore+,2 Crore+,UTTARAKHAND,12th Pass
3155,Vishan Singh,DIDIHAT,BJP,2,2 Crore+,91 Thou+,UTTARAKHAND,Post Graduate
3156,Brij Bhushan Gairola,DOIWALA,BJP,0,1 Crore+,,UTTARAKHAND,Post Graduate
3157,Madan Singh Bisht,DWARAHAT,INC,0,1 Crore+,1 Lac+,UTTARAKHAND,Graduate Professional
3158,Arvind Pandey,GADARPUR,BJP,2,1 Crore+,,UTTARAKHAND,Graduate
3159,Fakeer Ram,GANGOLIHAT (SC),BJP,0,0,1 Lac+,UTTARAKHAND,Literate
3160,Suresh Singh Chauhan,GANGOTRI,BJP,0,11 Lac+,,UTTARAKHAND,12th Pass
3161,Shakti Lal Shah,GHANSHALI (SC),BJP,0,31 Lac+,2 Lac+,UTTARAKHAND,12th Pass
3162,Sumit Hridayesh,HALDWANI,INC,6,10 Crore+,26 Lac+,UTTARAKHAND,Graduate
3163,Madan Kaushik,HARIDWAR,BJP,0,6 Crore+,52 Lac+,UTTARAKHAND,Graduate Professional
3164,Anupama Rawat,HARIDWAR RURAL,INC,0,13 Crore+,20 Lac+,UTTARAKHAND,Post Graduate
3165,Mohan Singh,JAGESHWAR,BJP,0,1 Crore+,,UTTARAKHAND,10th Pass
3166,Adesh Singh Chauhan,JASPUR,INC,1,3 Crore+,32 Lac+,UTTARAKHAND,Graduate
3167,Virendra Kumar,JHABRERA (SC),INC,0,85 Lac+,1 Lac+,UTTARAKHAND,Graduate
3168,Er. Ravi Bahadur,JWALAPUR (SC),INC,2,12 Lac+,2 Lac+,UTTARAKHAND,Graduate Professional
3169,Banshidhar Bhagat,KALADHUNGI,BJP,0,0,,UTTARAKHAND,8th Pass
3170,Suresh Gariya,KAPKOTE,BJP,0,1 Crore+,12 Lac+,UTTARAKHAND,Graduate Professional
3171,Anil Nautiyal,KARANPRAYAG,BJP,0,1 Crore+,,UTTARAKHAND,10th Pass
3172,Trilok Singh Cheema,KASHIPUR,BJP,0,44 Crore+,9 Crore+,UTTARAKHAND,Graduate
3173,Shaila Rani Rawat,KEDARNATH,BJP,0,3 Crore+,,UTTARAKHAND,Post Graduate
3174,Umesh Kumar,KHANPUR,IND,14,54 Crore+,2 Crore+,UTTARAKHAND,Graduate Professional
3175,Bhuwan Chandra Kapri,KHATIMA,INC,0,49 Lac+,12 Lac+,UTTARAKHAND,Graduate Professional
3176,Tilak Raj Behar,KICHHA,INC,1,6 Crore+,,UTTARAKHAND,10th Pass
3177,Ritu Khanduri Bhushan,KOTDWAR,BJP,0,7 Crore+,,UTTARAKHAND,Graduate
3178,Shahzad,LAKSAR,BSP,0,4 Crore+,,UTTARAKHAND,Literate
3179,Dr. Mohan Singh Bisht,LALKUAN,BJP,0,0,,UTTARAKHAND,Doctorate
3180,Daleep Singh Rawat,LANSDOWNE,BJP,2,1 Crore+,29 Lac+,UTTARAKHAND,Graduate
3181,Khushal Singh Adhikari,LOHAGHAT,INC,0,30 Crore+,3 Crore+,UTTARAKHAND,10th Pass
3182,Sarwat Kareem Ansari,MANGLORE,BSP,2,14 Crore+,,UTTARAKHAND,8th Pass
3183,Ganesh Joshi,MUSSOORIE,BJP,0,9 Crore+,64 Lac+,UTTARAKHAND,10th Pass
3184,Sarita Arya,NAINITAL(SC),BJP,0,55 Lac+,,UTTARAKHAND,10th Pass
3185,Gopal Singh Rana,NANAKMATTA (ST),INC,0,3 Crore+,45 Lac+,UTTARAKHAND,Graduate Professional
3186,Subodh Uniyal,NARENDRANAGAR,BJP,0,1 Crore+,1 Crore+,UTTARAKHAND,Post Graduate
3187,Rajkumar Pori,PAURI (SC),BJP,0,25 Lac+,11 Lac+,UTTARAKHAND,Graduate
3188,Furkan Ahmad,PIRANKALIYAR,INC,4,2 Crore+,6 Lac+,UTTARAKHAND,10th Pass
3189,Mayukh Mahar,PITHORAGARH,INC,0,0,2 Crore+,UTTARAKHAND,Post Graduate
3190,Vikram Singh Negi,PRATAPNAGAR,INC,0,2 Crore+,3 Crore+,UTTARAKHAND,Post Graduate
3191,Durgeshwar Lal,PUROLA (SC),BJP,1,6 Lac+,,UTTARAKHAND,12th Pass
3192,Umesh Sharma Kau,RAIPUR,BJP,0,7 Crore+,18 Lac+,UTTARAKHAND,Graduate
3193,Khajan Dass,RAJPUR ROAD (SC),BJP,0,2 Crore+,3 Lac+,UTTARAKHAND,8th Pass
3194,Diwan Singh Bisht,RAMNAGAR,BJP,0,4 Crore+,2 Lac+,UTTARAKHAND,Post Graduate
3195,Pramod Nainwal,RANIKHET,BJP,0,5 Crore+,25 Lac+,UTTARAKHAND,Doctorate
3196,Prem Chand Aggarwal,RISHIKESH,BJP,0,5 Crore+,,UTTARAKHAND,Post Graduate
3197,Pradeep Batra,ROORKEE,BJP,1,12 Crore+,3 Crore+,UTTARAKHAND,Post Graduate
3198,Bharat Singh Chaudhary,RUDRAPRAYAG,BJP,0,2 Crore+,50 Lac+,UTTARAKHAND,Graduate
3199,Shiv Arora,RUDRAPUR,BJP,1,0,48 Lac+,UTTARAKHAND,Graduate
3200,Sahdev Singh Pundir,SAHASPUR,BJP,0,3 Crore+,26 Lac+,UTTARAKHAND,Graduate
3201,Mahesh Jeena,SALT,BJP,2,3 Crore+,,UTTARAKHAND,Graduate
3202,Saurabh Bahuguna,SITARGANJ,BJP,0,7 Crore+,12 Lac+,UTTARAKHAND,Graduate Professional
3203,Rekha Arya,SOMESHWAR (SC),BJP,0,25 Crore+,82 Lac+,UTTARAKHAND,Post Graduate
3204,Dr. Dhan Singh Rawat,SRINAGAR,BJP,0,2 Crore+,,UTTARAKHAND,Doctorate
3205,Kishore Upadhyay,TEHRI,BJP,0,2 Crore+,38 Lac+,UTTARAKHAND,Doctorate
3206,Bhupal Ram Tamta,THARALI (SC),BJP,0,68 Lac+,6 Lac+,UTTARAKHAND,10th Pass
3207,Munna Singh Chauhan,VIKASNAGAR,BJP,0,6 Crore+,1 Crore+,UTTARAKHAND,Post Graduate
3208,Renu Bisht,YAMKESHWAR,BJP,0,72 Lac+,,UTTARAKHAND,12th Pass
3209,Sanjay Dobhal,YAMUNOTRI,IND,1,0,70 Thou+,UTTARAKHAND,12th Pass
3210,Dr. G S Dharmesh,AGRA CANTT. (SC),BJP,1,4 Crore+,,UTTARPRADESH,Graduate Professional
3211,Purushottam Khandelwal,AGRA NORTH,BJP,0,1 Crore+,,UTTARPRADESH,10th Pass
3212,Baby Rani Maurya,AGRA RURAL (SC),BJP,0,2 Crore+,,UTTARPRADESH,Post Graduate
3213,Yogendra Upadhyaya,AGRA SOUTH,BJP,4,4 Crore+,,UTTARPRADESH,Post Graduate
3214,Tribhuwan Ram,AJAGARA (SC),BJP,1,14 Crore+,1 Crore+,UTTARPRADESH,Graduate Professional
3215,Ram Achal Rajbhar,AKBARPUR,SP,4,1 Crore+,,UTTARPRADESH,Graduate
3216,Pratibha Shukla,AKBARPUR-RANIYA,BJP,1,4 Crore+,2 Lac+,UTTARPRADESH,Post Graduate
3217,Tribhuwan Dutt,ALAPUR (SC),SP,1,3 Crore+,1 Crore+,UTTARPRADESH,12th Pass
3218,Satyapal Singh Rathore,ALIGANJ,BJP,1,7 Crore+,,UTTARPRADESH,10th Pass
3219,Mukta Raja,ALIGARH,BJP,0,0,47 Lac+,UTTARPRADESH,12th Pass
3220,Harshvardhan Bajpai,ALLAHABAD NORTH,BJP,2,8 Crore+,53 Lac+,UTTARPRADESH,Graduate Professional
3221,Nand Gopal Gupta (Nandi),ALLAHABAD SOUTH,BJP,7,37 Crore+,5 Crore+,UTTARPRADESH,12th Pass
3222,Sidharth Nath Singh,ALLAHABAD WEST,BJP,0,32 Crore+,7 Crore+,UTTARPRADESH,Graduate
3223,Hariom,AMANPUR,BJP,0,2 Crore+,4 Lac+,UTTARPRADESH,12th Pass
3224,Maharaji Prajapati,AMETHI,SP,0,9 Crore+,2 Crore+,UTTARPRADESH,Literate
3225,Sushil Kumar Shakya,AMRITPUR,BJP,0,2 Crore+,31 Lac+,UTTARPRADESH,12th Pass
3226,Mehboob Ali,AMROHA,SP,1,7 Crore+,33 Lac+,UTTARPRADESH,12th Pass
3227,Sanjay Kumar Sharma,ANUPSHAHR,BJP,0,3 Crore+,64 Lac+,UTTARPRADESH,Post Graduate
3228,Dharmpal Singh,AONLA,BJP,1,2 Crore+,,UTTARPRADESH,Post Graduate
3229,Amitabh Bajpai,ARYA NAGAR,SP,2,0,15 Lac+,UTTARPRADESH,Post Graduate
3230,Pinki Singh,ASMOLI,SP,1,6 Crore+,27 Lac+,UTTARPRADESH,Graduate Professional
3231,Sandeep Kumar Singh,ATRAULI,BJP,0,14 Crore+,,UTTARPRADESH,Post Graduate
3232,Dr. Sangram,ATRAULIYA,SP,5,3 Crore+,,UTTARPRADESH,Post Graduate
3233,Dinanath Bhashkar,AURAI (SC),BJP,2,7 Crore+,52 Lac+,UTTARPRADESH,Post Graduate
3234,Gudiya Katheriya,AURAIYA (SC),BJP,0,10 Lac+,,UTTARPRADESH,8th Pass
3235,Vikas Gupta,AYAH SHAH,BJP,0,32 Crore+,12 Crore+,UTTARPRADESH,Post Graduate
3236,Ved Prakash,AYODHYA,BJP,0,5 Crore+,12 Lac+,UTTARPRADESH,Graduate
3237,Durga Prasad Yadav,AZAMGARH,SP,3,22 Crore+,12 Lac+,UTTARPRADESH,Graduate Professional
3238,Vinod Kumar,BABAGANJ (SC),Jansatta Dal Loktantrik,2,3 Crore+,8 Thou+,UTTARPRADESH,Post Graduate
3239,Vishambhar Singh,BABERU,SP,1,0,5 Lac+,UTTARPRADESH,Post Graduate
3240,Rajeev Singh (Parichha),BABINA,BJP,2,9 Crore+,69 Lac+,UTTARPRADESH,10th Pass
3241,Shyam Sunder,BACHHRAWAN (SC),SP,1,64 Lac+,,UTTARPRADESH,10th Pass
3242,Mahesh Chandra Gupta,BADAUN,BJP,0,5 Crore+,28 Lac+,UTTARPRADESH,10th Pass
3243,Ramesh Chandra Mishra,BADLAPUR,BJP,0,2 Crore+,,UTTARPRADESH,10th Pass
3244,Yogesh Dhama,BAGHPAT,BJP,3,21 Crore+,2 Crore+,UTTARPRADESH,Graduate
3245,Rani Pakshalika Singh,BAH,BJP,0,58 Crore+,29 Lac+,UTTARPRADESH,Graduate
3246,Ataur Rehman,BAHERI,SP,1,3 Crore+,,UTTARPRADESH,Others
3247,Anupma Jaiswal,BAHRAICH,BJP,0,5 Crore+,1 Lac+,UTTARPRADESH,Post Graduate
3248,Jai Prakash Anchal,BAIRIA,SP,1,2 Crore+,2 Lac+,UTTARPRADESH,Post Graduate
3249,Yogesh Shukla,BAKSHI KAA TALAB,BJP,0,0,,UTTARPRADESH,12th Pass
3250,Rampal Verma,BALAMAU (SC),BJP,1,4 Crore+,12 Lac+,UTTARPRADESH,Post Graduate
3251,Puran Prakash,BALDEV (SC),BJP,0,9 Crore+,19 Lac+,UTTARPRADESH,Graduate Professional
3252,Saroj Sonkar,BALHA (SC),BJP,0,2 Crore+,12 Lac+,UTTARPRADESH,Post Graduate
3253,Daya Shankar Singh,BALLIA NAGAR,BJP,5,3 Crore+,,UTTARPRADESH,Post Graduate
3254,Paltoo Ram,BALRAMPUR (SC),BJP,0,9 Crore+,36 Lac+,UTTARPRADESH,Post Graduate
3255,Prakash Dwivedi,BANDA,BJP,1,27 Crore+,5 Crore+,UTTARPRADESH,Graduate
3256,Shrikant Katiyar,BANGERMAU,BJP,1,1 Crore+,9 Lac+,UTTARPRADESH,Post Graduate
3257,Ketakee Singh,BANSDIH,BJP,3,2 Crore+,,UTTARPRADESH,Graduate
3258,Dr. Vimlesh Paswan,BANSGAON (SC),BJP,0,26 Crore+,2 Crore+,UTTARPRADESH,Post Graduate
3259,Jai Pratap Singh,BANSI,BJP,0,0,,UTTARPRADESH,Graduate
3260,Vachaspati,BARA (SC),Apna Dal (Soneylal),4,18 Crore+,,UTTARPRADESH,Post Graduate
3261,Dharmraj Singh Yadav,BARABANKI,SP,3,2 Crore+,,UTTARPRADESH,Graduate Professional
3262,Thakur Jaiveer Singh,BARAULI,BJP,0,13 Crore+,67 Lac+,UTTARPRADESH,Post Graduate
3263,Krishan Pal Malik,BARAUT,BJP,0,12 Crore+,3 Crore+,UTTARPRADESH,10th Pass
3264,Dr Arun Kumar,BAREILLY,BJP,0,14 Crore+,,UTTARPRADESH,Graduate Professional
3265,Sanjeev Agarwal,BAREILLY CANTT.,BJP,0,23 Crore+,2 Crore+,UTTARPRADESH,Post Graduate
3266,Deepak Kumar Mishr,BARHAJ,BJP,0,1 Crore+,,UTTARPRADESH,Post Graduate
3267,Kunwar Sushant Singh,BARHAPUR,BJP,0,6 Crore+,3 Lac+,UTTARPRADESH,Graduate
3268,Jaydrath Alias Pravaktanand,BARKHERA,BJP,1,19 Lac+,17 Lac+,UTTARPRADESH,Graduate
3269,Mahendra Nath Yadav,BASTI SADAR,SP,13,0,,UTTARPRADESH,Post Graduate
3270,Umar Ali Khan,BEHAT,SP,1,5 Crore+,14 Lac+,UTTARPRADESH,Post Graduate
3271,Hansu Ram,BELTHARA ROAD (SC),Suheldev Bharatiya Samaj Party,0,2 Crore+,41 Lac+,UTTARPRADESH,Post Graduate
3272,Zahid,BHADOHI,SP,3,1 Crore+,,UTTARPRADESH,12th Pass
3273,Ashutosh Shukla,BHAGWANTNAGAR,BJP,0,8 Crore+,1 Crore+,UTTARPRADESH,Post Graduate
3274,Raghvendra Kumar Singh,BHARTHANA (SC),SP,1,1 Crore+,50 Lac+,UTTARPRADESH,Post Graduate
3275,Sabhakunwar,BHATPAR RANI,BJP,0,1 Crore+,8 Lac+,UTTARPRADESH,Post Graduate
3276,Indrani Devi,BHINGA,SP,2,4 Crore+,15 Lac+,UTTARPRADESH,12th Pass
3277,Rakesh Sachan,BHOGNIPUR,BJP,6,37 Crore+,8 Crore+,UTTARPRADESH,Post Graduate
3278,Shazil Islam Ansari,BHOJIPURA,SP,2,9 Crore+,28 Lac+,UTTARPRADESH,Graduate Professional
3279,Nagendra Singh Rathour,BHOJPUR,BJP,0,0,6 Lac+,UTTARPRADESH,Graduate
3280,Ram Naresh Agnihotri,BHONGAON,BJP,3,9 Crore+,8 Lac+,UTTARPRADESH,Graduate Professional
3281,Rekha Verma,BIDHUNA,SP,0,13 Crore+,21 Lac+,UTTARPRADESH,Post Graduate
3282,Suchi,BIJNOR,BJP,0,3 Crore+,6 Lac+,UTTARPRADESH,Post Graduate
3283,Amit Singh Chauhan,BIKAPUR,BJP,0,1 Crore+,12 Lac+,UTTARPRADESH,Graduate Professional
3284,Mohammad Faheem Irfan,BILARI,SP,0,4 Crore+,,UTTARPRADESH,Graduate Professional
3285,Baldev Singh Aulakh,BILASPUR,BJP,0,3 Crore+,1 Crore+,UTTARPRADESH,Post Graduate
3286,Ashish Kumar Singh (Ashu),BILGRAM-MALLANWAN,BJP,1,2 Crore+,5 Lac+,UTTARPRADESH,Doctorate
3287,Mohit Sonkar,BILHAUR (SC),BJP,3,85 Lac+,,UTTARPRADESH,Graduate Professional
3288,Harish Chandra,BILSI,BJP,0,1 Crore+,6 Lac+,UTTARPRADESH,Post Graduate
3289,Jay Kumar Singh Jaiki,BINDKI,Apna Dal (Soneylal),0,0,2 Crore+,UTTARPRADESH,Graduate Professional
3290,Vivek Kumar Verma,BISALPUR,BJP,4,1 Crore+,7 Lac+,UTTARPRADESH,Post Graduate
3291,Ashutosh Maurya Alias Raju,BISAULI (SC),SP,0,30 Crore+,,UTTARPRADESH,10th Pass
3292,Nirmal Verma,BISWAN,BJP,3,4 Crore+,9 Lac+,UTTARPRADESH,Graduate
3293,Dr. Raghavendra Sharma,BITHARI CHAINPUR,BJP,0,17 Crore+,3 Crore+,UTTARPRADESH,Post Graduate
3294,Abhijeet Singh,BITHOOR,BJP,5,6 Crore+,50 Lac+,UTTARPRADESH,Graduate
3295,Rajpal Singh Baliyan,BUDHANA,RLD,1,1 Crore+,,UTTARPRADESH,12th Pass
3296,Pradeep Kumar Chaudhary,BULANDSHAHR,BJP,1,4 Crore+,,UTTARPRADESH,12th Pass
3297,Fateh Bahadur,CAIMPIYARGANJ,BJP,0,9 Crore+,1 Crore+,UTTARPRADESH,Post Graduate
3298,Pooja Pal,CHAIL,SP,3,17 Crore+,1 Crore+,UTTARPRADESH,Graduate
3299,Kailash,CHAKIA (SC),BJP,0,0,,UTTARPRADESH,Graduate Professional
3300,Naseer Ahmad Khan,CHAMRAUA,SP,30,4 Crore+,,UTTARPRADESH,Post Graduate
3301,Gulab Debi,CHANDAUSI (SC),BJP,0,2 Crore+,4 Lac+,UTTARPRADESH,Post Graduate
3302,Swami Omvesh,CHANDPUR,SP,6,5 Crore+,60 Lac+,UTTARPRADESH,Post Graduate
3303,Brij Bhushan Rajput,CHARKHARI,BJP,5,19 Crore+,9 Lac+,UTTARPRADESH,Graduate
3304,Pankaj Kumar Malik,CHARTHAWAL,SP,1,6 Crore+,41 Lac+,UTTARPRADESH,Graduate Professional
3305,Sarvan Kumar Nishad,CHAURI-CHAURA,BJP,0,72 Thou+,,UTTARPRADESH,Graduate Professional
3306,Rahul Prakash Kol,CHHANBEY (SC),Apna Dal (Soneylal),0,1 Crore+,,UTTARPRADESH,Graduate Professional
3307,Ajay Kumar,CHHAPRAULI,RLD,1,4 Crore+,,UTTARPRADESH,Doctorate
3308,Ravendra Pal Singh,CHHARRA,BJP,0,8 Crore+,,UTTARPRADESH,10th Pass
3309,Laxmi Narayan,CHHATA,BJP,0,0,29 Lac+,UTTARPRADESH,Post Graduate
3310,Archana Pandey,CHHIBRAMAU,BJP,0,5 Crore+,9 Lac+,UTTARPRADESH,Post Graduate
3311,Rajesh Tripathi,CHILLUPAR,BJP,3,91 Lac+,9 Lac+,UTTARPRADESH,Graduate
3312,Anil Kumar Anil Pradhan,CHITRAKOOT,SP,2,30 Thou+,47 Thou+,UTTARPRADESH,Graduate
3313,Anurag Singh,CHUNAR,BJP,5,11 Crore+,1 Crore+,UTTARPRADESH,Post Graduate
3314,Ajay,COLONELGANJ,BJP,1,12 Crore+,2 Crore+,UTTARPRADESH,Post Graduate
3315,Manvendra Singh,DADRAUL,BJP,0,3 Crore+,17 Lac+,UTTARPRADESH,Graduate Professional
3316,Tejpal Singh Nagar,DADRI,BJP,0,5 Crore+,9 Lac+,UTTARPRADESH,Post Graduate
3317,Satish Chandra Sharma,DARIYABAD,BJP,1,1 Crore+,18 Lac+,UTTARPRADESH,Post Graduate
3318,Rajeev Singh Alias Babbu Bhaiya,DATAGANJ,BJP,0,24 Crore+,1 Crore+,UTTARPRADESH,Post Graduate
3319,Chandrapal Singh,DEBAI,BJP,0,0,,UTTARPRADESH,8th Pass
3320,Brijesh,DEOBAND,BJP,1,1 Crore+,12 Lac+,UTTARPRADESH,Graduate
3321,Shalabh Mani Tripathi,DEORIA,BJP,0,6 Crore+,10 Lac+,UTTARPRADESH,Doctorate
3322,Ashok Kumar Rana,DHAMPUR,BJP,0,10 Crore+,59 Lac+,UTTARPRADESH,12th Pass
3323,Rajeev Kumar,DHANAURA (SC),BJP,0,1 Crore+,14 Lac+,UTTARPRADESH,Post Graduate
3324,Ganesh Chandra,DHANGHATA (SC),BJP,0,1 Crore+,15 Lac+,UTTARPRADESH,Graduate
3325,Vinod Shankar,DHAURAHRA,BJP,1,2 Crore+,3 Lac+,UTTARPRADESH,Post Graduate
3326,Dharmesh Singh Tomar,DHOLANA,BJP,1,10 Crore+,,UTTARPRADESH,Post Graduate
3327,Pradeep Kumar Yadav,DIBIYAPUR,SP,2,6 Crore+,20 Lac+,UTTARPRADESH,Graduate Professional
3328,Kamalkant,DIDARGANJ,SP,0,4 Crore+,20 Lac+,UTTARPRADESH,Post Graduate
3329,Saiyada Khatoon,DOMARIYAGANJ,SP,1,0,5 Lac+,UTTARPRADESH,Post Graduate
3330,Ramdular,DUDDHI (ST),BJP,1,2 Crore+,7 Lac+,UTTARPRADESH,12th Pass
3331,Vipin Kumar David,ETAH,BJP,0,13 Crore+,1 Crore+,UTTARPRADESH,Graduate
3332,Sarita,ETAWAH,BJP,0,3 Crore+,12 Lac+,UTTARPRADESH,Graduate
3333,Dr. Dharmpal Singh,ETMADPUR,BJP,1,7 Crore+,,UTTARPRADESH,Doctorate
3334,Prof. Shyam Bihari Lal,FARIDPUR (SC),BJP,4,5 Crore+,74 Lac+,UTTARPRADESH,Doctorate
3335,Major Sunil Dutt Dwivedi,FARRUKHABAD,BJP,0,4 Crore+,,UTTARPRADESH,Graduate Professional
3336,Chhotey Lal Verma,FATEHABAD,BJP,0,6 Crore+,11 Lac+,UTTARPRADESH,8th Pass
3337,Chandra Prakash,FATEHPUR,SP,0,2 Crore+,23 Lac+,UTTARPRADESH,Graduate Professional
